0.000000e+00  7.091415e-03  -8.721520e-03
9.700000e+00  3.827021e-01  -4.389966e-01  5.823907e-01
9.800000e+00  3.759860e-01  -4.310018e-01  5.719510e-01
9.900000e+00  3.701706e-01  -4.239958e-01  5.628487e-01
1.000000e+01  3.652797e-01  -4.179954e-01  5.551120e-01
1.010000e+01  3.613172e-01  -4.129966e-01  5.487406e-01
1.020000e+01  3.582692e-01  -4.089768e-01  5.437084e-01
1.030000e+01  3.561056e-01  -4.058968e-01  5.399661e-01
1.040000e+01  3.547821e-01  -4.037028e-01  5.374442e-01
1.050000e+01  3.542417e-01  -4.023283e-01  5.360553e-01
1.060000e+01  3.544167e-01  -4.016959e-01  5.356965e-01
1.070000e+01  3.552300e-01  -4.017184e-01  5.362518e-01
1.080000e+01  3.565971e-01  -4.023013e-01  5.375945e-01
1.090000e+01  3.584278e-01  -4.033442e-01  5.395897e-01
1.100000e+01  3.606280e-01  -4.047428e-01  5.420972e-01
1.110000e+01  3.631016e-01  -4.063910e-01  5.449738e-01
1.120000e+01  3.657527e-01  -4.081835e-01  5.480773e-01
1.130000e+01  3.684875e-01  -4.100178e-01  5.512691e-01
1.140000e+01  3.712172e-01  -4.117972e-01  5.544178e-01
1.150000e+01  3.738596e-01  -4.134331e-01  5.574028e-01
1.160000e+01  3.763416e-01  -4.148472e-01  5.601171e-01
1.170000e+01  3.786016e-01  -4.159739e-01  5.624709e-01
1.180000e+01  3.805909e-01  -4.167622e-01  5.643936e-01
1.190000e+01  3.822752e-01  -4.171771e-01  5.658365e-01
1.200000e+01  3.836359e-01  -4.172007e-01  5.667741e-01
1.210000e+01  3.846706e-01  -4.168332e-01  5.672048e-01
1.220000e+01  3.853930e-01  -4.160929e-01  5.671518e-01
1.230000e+01  3.858330e-01  -4.150162e-01  5.666618e-01
1.240000e+01  3.860353e-01  -4.136567e-01  5.658048e-01
1.250000e+01  3.860585e-01  -4.120840e-01  5.646719e-01
1.260000e+01  3.859737e-01  -4.103822e-01  5.633731e-01
1.270000e+01  3.858622e-01  -4.086477e-01  5.620343e-01
1.280000e+01  3.858133e-01  -4.069870e-01  5.607944e-01
1.290000e+01  3.859221e-01  -4.055138e-01  5.598011e-01
1.300000e+01  3.862862e-01  -4.043458e-01  5.592071e-01
1.310000e+01  3.870030e-01  -4.036019e-01  5.591652e-01
1.320000e+01  3.881664e-01  -4.033976e-01  5.598239e-01
1.330000e+01  3.898632e-01  -4.038420e-01  5.613214e-01
1.340000e+01  3.921693e-01  -4.050329e-01  5.637805e-01
1.350000e+01  3.951458e-01  -4.070521e-01  5.673020e-01
1.360000e+01  3.988348e-01  -4.099602e-01  5.719585e-01
1.370000e+01  4.032555e-01  -4.137914e-01  5.777875e-01
1.380000e+01  4.084002e-01  -4.185478e-01  5.847846e-01
1.390000e+01  4.142312e-01  -4.241943e-01  5.928982e-01
1.400000e+01  4.206784e-01  -4.306549e-01  6.020249e-01
1.410000e+01  4.276386e-01  -4.378106e-01  6.120073e-01
1.420000e+01  4.349776e-01  -4.455003e-01  6.226364e-01
1.430000e+01  4.425340e-01  -4.535250e-01  6.336571e-01
1.440000e+01  4.501264e-01  -4.616571e-01  6.447798e-01
1.450000e+01  4.575631e-01  -4.696524e-01  6.556961e-01
1.460000e+01  4.646542e-01  -4.772655e-01  6.660975e-01
1.470000e+01  4.712228e-01  -4.842672e-01  6.756964e-01
1.480000e+01  4.771167e-01  -4.904593e-01  6.842446e-01
1.490000e+01  4.822165e-01  -4.956873e-01  6.915480e-01
1.500000e+01  4.864403e-01  -4.998470e-01  6.974748e-01
1.510000e+01  4.897437e-01  -5.028859e-01  7.019567e-01
1.520000e+01  4.921166e-01  -5.047988e-01  7.049826e-01
1.530000e+01  4.935765e-01  -5.056186e-01  7.065889e-01
1.540000e+01  4.941611e-01  -5.054059e-01  7.068453e-01
1.550000e+01  4.939198e-01  -5.042377e-01  7.058417e-01
1.560000e+01  4.929081e-01  -5.021975e-01  7.036765e-01
1.570000e+01  4.911815e-01  -4.993678e-01  7.004480e-01
1.580000e+01  4.887931e-01  -4.958259e-01  6.962485e-01
1.590000e+01  4.857922e-01  -4.916408e-01  6.911619e-01
1.600000e+01  4.822238e-01  -4.868740e-01  6.852635e-01
1.610000e+01  4.781301e-01  -4.815797e-01  6.786217e-01
1.620000e+01  4.735511e-01  -4.758075e-01  6.712998e-01
1.630000e+01  4.685266e-01  -4.696043e-01  6.633591e-01
1.640000e+01  4.630974e-01  -4.630162e-01  6.548612e-01
1.650000e+01  4.573069e-01  -4.560910e-01  6.458704e-01
1.660000e+01  4.512019e-01  -4.488790e-01  6.364555e-01
1.670000e+01  4.448332e-01  -4.414346e-01  6.266906e-01
1.680000e+01  4.382566e-01  -4.338159e-01  6.166563e-01
1.690000e+01  4.315320e-01  -4.260852e-01  6.064391e-01
1.700000e+01  4.247237e-01  -4.183080e-01  5.961307e-01
1.710000e+01  4.178994e-01  -4.105521e-01  5.858267e-01
1.720000e+01  4.111288e-01  -4.028863e-01  5.756251e-01
1.730000e+01  4.044823e-01  -3.953791e-01  5.656240e-01
1.740000e+01  3.980295e-01  -3.880971e-01  5.559198e-01
1.750000e+01  3.918378e-01  -3.811038e-01  5.466050e-01
1.760000e+01  3.859708e-01  -3.744584e-01  5.377663e-01
1.770000e+01  3.804868e-01  -3.682149e-01  5.294831e-01
1.780000e+01  3.754386e-01  -3.624206e-01  5.218264e-01
1.790000e+01  3.708722e-01  -3.571166e-01  5.148577e-01
1.800000e+01  3.668270e-01  -3.523364e-01  5.086285e-01
1.810000e+01  3.633357e-01  -3.481064e-01  5.031808e-01
1.820000e+01  3.604244e-01  -3.444461e-01  4.985467e-01
1.830000e+01  3.581131e-01  -3.413682e-01  4.947497e-01
1.840000e+01  3.564164e-01  -3.388798e-01  4.918050e-01
1.850000e+01  3.553437e-01  -3.369827e-01  4.897209e-01
1.860000e+01  3.549002e-01  -3.356750e-01  4.884996e-01
1.870000e+01  3.550871e-01  -3.349515e-01  4.881386e-01
1.880000e+01  3.559020e-01  -3.348052e-01  4.886315e-01
1.890000e+01  3.573401e-01  -3.352281e-01  4.899692e-01
1.900000e+01  3.593936e-01  -3.362118e-01  4.921404e-01
1.910000e+01  3.620528e-01  -3.377488e-01  4.951328e-01
1.920000e+01  3.653061e-01  -3.398323e-01  4.989334e-01
1.930000e+01  3.691404e-01  -3.424570e-01  5.035290e-01
1.940000e+01  3.735410e-01  -3.456191e-01  5.089061e-01
1.950000e+01  3.784921e-01  -3.493159e-01  5.150514e-01
1.960000e+01  3.839762e-01  -3.535455e-01  5.219504e-01
1.970000e+01  3.899739e-01  -3.583055e-01  5.295871e-01
1.980000e+01  3.964629e-01  -3.635915e-01  5.379420e-01
1.990000e+01  4.034169e-01  -3.693954e-01  5.469901e-01
2.000000e+01  4.108043e-01  -3.757023e-01  5.566978e-01
2.010000e+01  4.185862e-01  -3.824882e-01  5.670200e-01
2.020000e+01  4.267150e-01  -3.897162e-01  5.778966e-01
2.030000e+01  4.351328e-01  -3.973341e-01  5.892495e-01
2.040000e+01  4.437705e-01  -4.052722e-01  6.009807e-01
2.050000e+01  4.525482e-01  -4.134421e-01  6.129717e-01
2.060000e+01  4.613762e-01  -4.217379e-01  6.250847e-01
2.070000e+01  4.701575e-01  -4.300394e-01  6.371672e-01
2.080000e+01  4.787911e-01  -4.382169e-01  6.490569e-01
2.090000e+01  4.871761e-01  -4.461383e-01  6.605906e-01
2.100000e+01  4.952164e-01  -4.536768e-01  6.716114e-01
2.110000e+01  5.028237e-01  -4.607178e-01  6.819769e-01
2.120000e+01  5.099210e-01  -4.671648e-01  6.915651e-01
2.130000e+01  5.164433e-01  -4.729425e-01  7.002773e-01
2.140000e+01  5.223380e-01  -4.779970e-01  7.080382e-01
2.150000e+01  5.275628e-01  -4.822935e-01  7.147934e-01
2.160000e+01  5.320840e-01  -4.858126e-01  7.205049e-01
2.170000e+01  5.358735e-01  -4.885448e-01  7.251457e-01
2.180000e+01  5.389059e-01  -4.904866e-01  7.286951e-01
2.190000e+01  5.411572e-01  -4.916365e-01  7.311344e-01
2.200000e+01  5.426034e-01  -4.919932e-01  7.324450e-01
2.210000e+01  5.432209e-01  -4.915553e-01  7.326087e-01
2.220000e+01  5.429879e-01  -4.903229e-01  7.316095e-01
2.230000e+01  5.418872e-01  -4.883003e-01  7.294374e-01
2.240000e+01  5.399093e-01  -4.854993e-01  7.260934e-01
2.250000e+01  5.370565e-01  -4.819424e-01  7.215942e-01
2.260000e+01  5.333455e-01  -4.776654e-01  7.159760e-01
2.270000e+01  5.288097e-01  -4.727179e-01  7.092968e-01
2.280000e+01  5.234992e-01  -4.671626e-01  7.016355e-01
2.290000e+01  5.174791e-01  -4.610728e-01  6.930893e-01
2.300000e+01  5.108270e-01  -4.545286e-01  6.837693e-01
2.310000e+01  5.036288e-01  -4.476130e-01  6.737948e-01
2.320000e+01  4.959748e-01  -4.404085e-01  6.632877e-01
2.330000e+01  4.879557e-01  -4.329937e-01  6.523682e-01
2.340000e+01  4.796601e-01  -4.254420e-01  6.411511e-01
2.350000e+01  4.711723e-01  -4.178205e-01  6.297439e-01
2.360000e+01  4.625713e-01  -4.101898e-01  6.182458e-01
2.370000e+01  4.539302e-01  -4.026043e-01  6.067478e-01
2.380000e+01  4.453163e-01  -3.951131e-01  5.953326e-01
2.390000e+01  4.367907e-01  -3.877598e-01  5.840751e-01
2.400000e+01  4.284089e-01  -3.805835e-01  5.730427e-01
2.410000e+01  4.202207e-01  -3.736184e-01  5.622955e-01
2.420000e+01  4.122702e-01  -3.668948e-01  5.518863e-01
2.430000e+01  4.045957e-01  -3.604389e-01  5.418615e-01
2.440000e+01  3.972307e-01  -3.542737e-01  5.322613e-01
2.450000e+01  3.902037e-01  -3.484193e-01  5.231204e-01
2.460000e+01  3.835392e-01  -3.428943e-01  5.144694e-01
2.470000e+01  3.772586e-01  -3.377163e-01  5.063362e-01
2.480000e+01  3.713812e-01  -3.329031e-01  4.987469e-01
2.490000e+01  3.659255e-01  -3.284734e-01  4.917278e-01
2.500000e+01  3.609099e-01  -3.244481e-01  4.853066e-01
2.510000e+01  3.563543e-01  -3.208500e-01  4.795134e-01
2.520000e+01  3.522803e-01  -3.177047e-01  4.743814e-01
2.530000e+01  3.487121e-01  -3.150403e-01  4.699474e-01
2.540000e+01  3.456769e-01  -3.128868e-01  4.662517e-01
2.550000e+01  3.432044e-01  -3.112759e-01  4.633379e-01
2.560000e+01  3.413271e-01  -3.102395e-01  4.612513e-01
2.570000e+01  3.400792e-01  -3.098088e-01  4.600384e-01
2.580000e+01  3.394959e-01  -3.100129e-01  4.597450e-01
2.590000e+01  3.396125e-01  -3.108771e-01  4.604142e-01
2.600000e+01  3.404627e-01  -3.124217e-01  4.620846e-01
2.610000e+01  3.420772e-01  -3.146603e-01  4.647880e-01
2.620000e+01  3.444825e-01  -3.175983e-01  4.685476e-01
2.630000e+01  3.476987e-01  -3.212320e-01  4.733755e-01
2.640000e+01  3.517385e-01  -3.255477e-01  4.792716e-01
2.650000e+01  3.566051e-01  -3.305209e-01  4.862214e-01
2.660000e+01  3.622918e-01  -3.361167e-01  4.941961e-01
2.670000e+01  3.687800e-01  -3.422902e-01  5.031514e-01
2.680000e+01  3.760392e-01  -3.489875e-01  5.130280e-01
2.690000e+01  3.840258e-01  -3.561471e-01  5.237524e-01
2.700000e+01  3.926836e-01  -3.637021e-01  5.352379e-01
2.710000e+01  4.019428e-01  -3.715818e-01  5.473857e-01
2.720000e+01  4.117206e-01  -3.797135e-01  5.600859e-01
2.730000e+01  4.219212e-01  -3.880239e-01  5.732190e-01
2.740000e+01  4.324357e-01  -3.964397e-01  5.866559e-01
2.750000e+01  4.431429e-01  -4.048877e-01  6.002580e-01
2.760000e+01  4.539096e-01  -4.132936e-01  6.138775e-01
2.770000e+01  4.645928e-01  -4.215814e-01  6.273574e-01
2.780000e+01  4.750414e-01  -4.296717e-01  6.405327e-01
2.790000e+01  4.851007e-01  -4.374814e-01  6.532325e-01
